"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b_facility,recruitment_and_screening_form_appendix_b,,text,"CALCTEXT Facility",,,,,,,,,,,,," @HIDDEN @CALCTEXT(
if([b_fac_bu]='1', 'Genesis Grand Islander', 
if([b_fac_bu]='2', 'Genesis Grandview Center',
if([b_fac_bu]='3', 'Genesis Kent Regency', 
if([b_fac_bu]='4', 'Genesis Respiratory and Rehab', 
if([b_fac_bu]='5', 'Saint Elizabeth Home Skilled Nursing & Rehabilitation Center',
if([b_fac_cwru]='1', 'Ohio Veterans Home',
if([b_fac_cwru]='2', 'St. Augustine', 
if([b_fac_cwru]='3', 'Menorah Park', 
if([b_fac_cwru]='4', 'Montefiore', 
if([b_fac_cwru]='5', 'Crawford Manor', 
if([b_fac_cwru]='6', 'Grand River', 
if([b_fac_cwru]='7', 'Bathcreek Estates', 
if([b_fac_cwru]='8', 'Bath Manor', 
if([b_fac_cwru]='9', 'Highland Pointe', 
if([b_fac_cwru]='10', 'The Willows', 
if([b_fac_cwru]='11', 'Aventura at Walton Manor', 
if([b_fac_cwru]='12', 'The Woodlands at Robinson', 
if([b_fac_cwru]='13', 'Oaks of Brecksville', 
if([b_fac_cwru]='14', 'Seven Hills Skilled Nursing and Rehab', 
if([b_fac_cwru]='15', 'Homestead II', 
if([b_fac_eu]='1', 'AG Rhodes Atlanta',
if([b_fac_eu]='2', 'AG Rhodes Wesley Woods', 
if([b_fac_eu]='3', 'AG Rhodes Cobb', 
if([b_fac_jhu]='1', 'Lorien Mays Chapel',
if([b_fac_jhu]='2', 'Lorien Bulle Rock', 
if([b_fac_jhu]='3', 'Lorien Columbia', 
if([b_fac_jhu]='4', 'Lorien Bel Air',
if([b_fac_jhu]='5', 'Lorien Encore at Turf Valley', 
if([b_fac_jhu]='6', 'Lorien Mt. Airy', 
if([b_fac_osu]='1', 'Centennial',
if([b_fac_osu]='2', 'Mt Tabor', 
if([b_fac_osu]='3', 'Marquis Oregon City Post Acute', 
if([b_fac_osu]='4', 'Marquis Tualatin Post Acute', 
if([b_fac_osu]='5', 'Marquis Vermont Hills',
if([b_fac_um]='1', 'Promedica Ann Arbor', 
if([b_fac_um]='2', 'Glacier Hills', 
if([b_fac_um]='3', 'Grandvue Medical Care Facility', 
if([b_fac_um]='4', 'Bay Bluffs - Emmett County Medical Care Facility', 
if([b_fac_um]='5', 'Lenawee Medical Care Facility', 
if([b_fac_um]='6', 'Hillsdale Hospital McGuire and MacRitchie Ltcu', 
if([b_fac_um]='7', 'Evangelical Home - Saline', 
if([b_fac_um]='8', 'Holt Nursing Care & Rehab', 
if([b_fac_up]='1', 'Asbury Heights', 
if([b_fac_up]='2', 'Canterbury Place', 
if([b_fac_up]='3', 'Cranberry Place', 
if([b_fac_up]='4', 'Heritage Place', 
if([b_fac_up]='5', 'Seneca Place', 
if([b_fac_up]='6', 'Sherwood Oaks', 
if([b_fac_uw]='1', 'Capital Lakes Health Center', 
if([b_fac_uw]='2', ""St. Mary's Care Center"", 
if([b_fac_uw]='3', 'Crossroads Care Center', 
if([b_fac_uw]='4', 'Skaalen Nursing & Rehabilitation Center', 
if([b_fac_uw]='5', 'Hillside Manor', 
if([b_fac_uw]='6', 'Clearview', 
if([b_fac_uw]='7', 'Bedrock Health Care Center', 
if([b_fac_uw]='8', 'Marquardt Memorial Manor', 
if([b_fac_uw]='9', 'Alden Estates', 
if([b_fac_uw]='10', 'Pleasant View Nursing Home', ''
)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
b_staff,recruitment_and_screening_form_appendix_b,,text,"Study Staff Initials:",,,alpha_only,,,,,y,,,,," @CHARLIMIT='3'"
b_date,recruitment_and_screening_form_appendix_b,,text,"Date form started:",,mm-dd-yyyy,date_mdy,2023-02-01,today,,,y,,,,," @FORCE-MINMAX"
b_server_date,recruitment_and_screening_form_appendix_b,,text,"Auto Server Date",,,date_mdy,,,,,,,,,," @HIDDEN @TODAY-SERVER"
b_time,recruitment_and_screening_form_appendix_b,,text,"Time form started:",,"24-hour time format",time,,,,,y,,,,,
b_p_type,recruitment_and_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">A. Stratified Recruitment Data</span></h6></div>",dropdown,"1. Participant Type","1, Nursing home resident | 2, Nursing home staff",,,,,,[b_date]<>'',y,,,,,
b_nhr_ie,recruitment_and_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><strong>Nursing Home Residents</strong></span></p> <p><span style=""font-weight: normal;"">Inclusion criteria:</span></p> <ul> <li><span style=""font-weight: normal;"">Current resident (long-term or short-stay) of a participating NH facility.</span></li> <li><span style=""font-weight: normal;"">Willing to complete study procedures including nasal swabbing (2 separate swabs once per day) for 14 days (28 swabs) if they test positive, and nasal swabbing (2 separate swabs once per day) every day for 7 days (14 swabs) if their roommate tests positive. If they test positive and agree to the sub-study, nasal swabbing (2 separate swabs twice weekly) for an additional 14 days (8 swabs) and then nasal swabbing (2 separate swabs once per week) for an additional 60 days (18 swabs). There will be up to two short surveys and a symptom check each time swabs are taken (up to 28 times).</span></li> <li><span style=""font-weight: normal;"">Capable of providing informed consent by oneself or through a designated legal guardian.</span></li> </ul> <p><span style=""font-weight: normal;"">Exclusion criteria:</span></p> <ul> <li><span style=""font-weight: normal;"">Resident has impaired decision-making capacity and does not have a legal guardian.</span></li> <li><span style=""font-weight: normal;"">Resident or legal guardian is unwilling to provide consent.</span></li> <li><span style=""font-weight: normal;"">The individual has previously requested that they not be contacted regarding research studies.</span></li> <li><span style=""font-weight: normal;"">Resident or legal guardian is unable to communicate in English.</span></li> </ul></div>",,,,,,,[b_p_type]='1',,,,,,
b_nhs_ie,recruitment_and_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><strong>Nursing Home Staff</strong></span></p> <p><span style=""font-weight: normal;"">Inclusion Criteria:</span></p> <ul> <li><span style=""font-weight: normal;"">Currently employed or contracted on-site by NH facility.</span></li> <li><span style=""font-weight: normal;"">Willing to complete study procedures.</span></li> <li><span style=""font-weight: normal;"">Capable of providing informed consent.</span></li> </ul> <p><span style=""font-weight: normal;"">Exclusion Criteria:</span></p> <ul> <li><span style=""font-weight: normal;"">Unwilling to provide consent.</span></li> <li><span style=""font-weight: normal;"">Unable to communicate in English.</span></li> </ul></div>",,,,,,,[b_p_type]='2',,,,,,
b_r_unit_type,recruitment_and_screening_form_appendix_b,,radio,"2. Unit Type 
","1, Short-term stay | 2, Long-term care",,,,,,[b_p_type]='1',,,,,,
b_r_bu_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Homestead | 2, Miramar | 3, TCU | 4, The Avenue | 5, The Boulevard",,,,,,"[b_fac_bu] = '1' and [b_p_type]='1'",,,,,,
b_r_bu_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, One East | 2, One North | 3, RRS/One South | 4, Two East | 5, Two North | 6, Two South",,,,,,"[b_fac_bu] = '2' and [b_p_type]='1'",,,,,,
b_r_bu_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, A Wing | 2, B Wing | 3, C Wing | 4, D Wing | 5, E Wing",,,,,,"[b_fac_bu] = '3' and [b_p_type]='1'",,,,,,
b_r_bu_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1N | 2, 1S | 3, 2E | 4, 2S | 5, 3N | 6, 3S | 7, Vent",,,,,,"[b_fac_bu] = '4' and [b_p_type]='1'",,,,,,
b_r_bu_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, The Bay | 2, The Cove | 3, The Hill | 4, Green Homes",,,,,,"[b_fac_bu] = '5' and [b_p_type]='1'",,,,,,
b_r_cwru_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, North | 2, South | 3, Dom Plus",,,,,,"[b_fac_cwru] = '1' and [b_p_type]='1'",,,,,,
b_r_cwru_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Floor 2 | 2, Floor 3 | 3, Floor 4",,,,,,"[b_fac_cwru] = '2' and [b_p_type]='1'",,,,,,
b_r_cwru_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Fairmont | 2, Beachwood | 3, Friedman | 4, Shaker | 5, Euclid | 6, Marcus | 7, Heights",,,,,,"[b_fac_cwru] = '3' and [b_p_type]='1'",,,,,,
b_r_cwru_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Myers | 2, Mandel",,,,,,"[b_fac_cwru] = '4' and [b_p_type]='1'",,,,,,
b_r_cwru_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Floor 2 | 2, Floor 3",,,,,,"[b_fac_cwru] = '5' and [b_p_type]='1'",,,,,,
b_r_cwru_unit6,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100 Area | 2, 200 Area",,,,,,"[b_fac_cwru] = '6' and [b_p_type]='1'",,,,,,
b_r_cwru_unit7,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100 North | 2, 100 South | 3, 200 North | 4, 200 South | 5, 300 North | 6, 300 South",,,,,,"[b_fac_cwru] = '7' and [b_p_type]='1'",,,,,,
b_r_cwru_unit8,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100 Branch | 2, 200 Branch | 3, 300 Branch | 4, 400 Branch",,,,,,"[b_fac_cwru] = '8' and [b_p_type]='1'",,,,,,
b_r_cwru_unit9,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100s | 2, 200s | 3, 300s | 4, 400s",,,,,,"[b_fac_cwru] = '9' and [b_p_type]='1'",,,,,,
b_r_cwru_unit10,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100 Wing | 2, 200 Wing | 3, 300 Wing | 4, 400 Wing",,,,,,"[b_fac_cwru] = '10' and [b_p_type]='1'",,,,,,
b_r_cwru_unit11,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Tulip Trail | 2, Orchid Way | 3, Daisy Avenue | 4, Iris Court",,,,,,"[b_fac_cwru] = '11' and [b_p_type]='1'",,,,,,
b_r_cwru_unit12,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Station 1 | 2, Station 3 | 3, Memory Care Neighborhood",,,,,,"[b_fac_cwru] = '12' and [b_p_type]='1'",,,,,,
b_r_cwru_unit13,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Floor 2 Wing 1 | 2, Floor 2 Wing 2 | 3, Floor 2 Wing 3 | 4, Floor 3 Wing 1 | 5, Floor 3 Wing 2 | 6, Floor 3 Wing 3",,,,,,"[b_fac_cwru] = '13' and [b_p_type]='1'",,,,,,
b_r_cwru_unit14,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Floor 1 | 2, Floor 2 Wing 1 | 3, Floor 2 Wing 2 | 4, Floor 2 Wing 3",,,,,,"[b_fac_cwru] = '14' and [b_p_type]='1'",,,,,,
b_r_cwru_unit15,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 100 Area | 2, 200 Area",,,,,,"[b_fac_cwru] = '15' and [b_p_type]='1'",,,,,,
b_r_eu_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1st Victoria court/ A wing | 2, 1st Garden Trail | 3, 2nd Westing Way | 4, Basement Tailor Lane",,,,,,"[b_fac_eu] = '1' and [b_p_type]='1'",,,,,,
b_r_eu_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 2nd floor north, south, middle | 2, 3rd floor north, south, middle | 3, 4th floor north, south, middle",,,,,,"[b_fac_eu] = '2' and [b_p_type]='1'",,,,,,
b_r_eu_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 2 Blue | 2, 2 Green | 3, 2 Pink | 4, 3 Blue | 5, 3 Green | 6, 3 Pink",,,,,,"[b_fac_eu] = '3' and [b_p_type]='1'",,,,,,
b_r_jhu_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Second Floor | 2, Third Floor",,,,,,"[b_fac_jhu] = '1' and [b_p_type]='1'",,,,,,
b_r_jhu_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, First Floor | 2, Second Floor",,,,,,"[b_fac_jhu] = '2' and [b_p_type]='1'",,,,,,
b_r_jhu_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 Renn | 2, MSU | 3, 2 Renn | 4, 2 West | 5, 3 South | 6, 2 South | 7, 3 South",,,,,,"[b_fac_jhu] = '3' and [b_p_type]='1'",,,,,,
b_r_jhu_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Park | 2, Brook | 3, Broadway",,,,,,"[b_fac_jhu] = '4' and [b_p_type]='1'",,,,,,
b_r_jhu_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Patuxent | 2, Chesapeake | 3, IP | 4, Atlantic 1 | 5, Atlantic 2 | 6, MSU",,,,,,"[b_fac_jhu] = '5' and [b_p_type]='1'",,,,,,
b_r_jhu_unit6,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Dorsey Unit | 2, Prospect",,,,,,"[b_fac_jhu] = '6' and [b_p_type]='1'",,,,,,
b_r_osu_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, East Hall | 2, South Hall 1 | 3, South Hall 2 | 4, West Hall",,,,,,"[b_fac_osu] = '1' and [b_p_type]='1'",,,,,,
b_r_osu_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 2 West A | 2, 2 West B | 3, 3 West A | 4, 3 West B | 5, 4 West A | 6, 4 West B | 7, 5 West A | 8, 5 West B",,,,,,"[b_fac_osu] = '2' and [b_p_type]='1'",,,,,,
b_r_osu_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, A Wing | 2, B Wing | 3, C Wing",,,,,,"[b_fac_osu] = '3' and [b_p_type]='1'",,,,,,
b_r_osu_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, A Hall | 2, B Hall | 3, C Hall",,,,,,"[b_fac_osu] = '4' and [b_p_type]='1'",,,,,,
b_r_osu_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, A Wing | 2, B Wing | 3, C Wing | 4, D Wing | 5, E Wing",,,,,,"[b_fac_osu] = '5' and [b_p_type]='1'",,,,,,
b_r_um_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Maple (300/400) | 2, Beech (600/700) | 3, Cypress (100/200) | 4, Meadows (500)",,,,,,"[b_fac_um] = '1' and [b_p_type]='1'",,,,,,
b_r_um_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, LTC | 2, Rehab",,,,,,"[b_fac_um] = '2' and [b_p_type]='1'",,,,,,
b_r_um_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Lakevue A | 2, Lakevue B | 3, Valleyvue A | 4, Valleyvue B | 5, Horizonvue A | 6, Horizonvue B",,,,,,"[b_fac_um] = '3' and [b_p_type]='1'",,,,,,
b_r_um_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Trillium | 2, Lilac | 3, Appleblossom | 4, Wildflower | 5, Birch",,,,,,"[b_fac_um] = '4' and [b_p_type]='1'",,,,,,
b_r_um_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Green Gables | 2, Sherwood | 3, Camelot",,,,,,"[b_fac_um] = '5' and [b_p_type]='1'",,,,,,
b_r_um_unit6,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, MacRitchie | 2, McGuire | 3, COVID (4-bed unit)",,,,,,"[b_fac_um] = '6' and [b_p_type]='1'",,,,,,
b_r_um_unit7,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Brideway Blvd (B-Wing) | 2, Columbia Court (C-Wing) | 3, Dovecote Drive (D-Wing) | 4, East-Redies | 5, North-Redies | 6, South-Redies",,,,,,"[b_fac_um] = '7' and [b_p_type]='1'",,,,,,
b_r_um_unit8,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Maple Hall | 2, Cedar Hall | 3, Oak Hall",,,,,,"[b_fac_um] = '8' and [b_p_type]='1'",,,,,,
b_r_up_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Evergreen | 2, Hickory | 3, Redwood | 4, Willows",,,,,,"[b_fac_up] = '1' and [b_p_type]='1'",,,,,,
b_r_up_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Renaissance Hall | 2, 1st Floor | 3, Transitional Care Unit (TRU)",,,,,,"[b_fac_up] = '2' and [b_p_type]='1'",,,,,,
b_r_up_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, East  | 2, North | 3, West",,,,,,"[b_fac_up] = '3' and [b_p_type]='1'",,,,,,
b_r_up_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Transitional Care Unit (1st Fl TRU) | 2, 2nd Floor | 3, 3rd Floor",,,,,,"[b_fac_up] = '4' and [b_p_type]='1'",,,,,,
b_r_up_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 2nd Floor | 2, 3rd Floor | 3, Transitional Care Unit",,,,,,"[b_fac_up] = '5' and [b_p_type]='1'",,,,,,
b_r_up_unit6,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, Founders | 2, Lake | 3, West",,,,,,"[b_fac_up] = '6' and [b_p_type]='1'",,,,,,
b_r_uw_unit1,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '1' and [b_p_type]='1'",,,,,,
b_r_uw_unit2,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '2' and [b_p_type]='1'",,,,,,
b_r_uw_unit3,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '3' and [b_p_type]='1'",,,,,,
b_r_uw_unit4,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '4' and [b_p_type]='1'",,,,,,
b_r_uw_unit5,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '5' and [b_p_type]='1'",,,,,,
b_r_uw_unit6,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '6' and [b_p_type]='1'",,,,,,
b_r_uw_unit7,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '7' and [b_p_type]='1'",,,,,,
b_r_uw_unit8,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '8' and [b_p_type]='1'",,,,,,
b_r_uw_unit9,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '9' and [b_p_type]='1'",,,,,,
b_r_uw_unit10,recruitment_and_screening_form_appendix_b,,radio,Unit:,"1, 1 | 2, 2 | 3, 3",,,,,,"[b_fac_uw] = '10' and [b_p_type]='1'",,,,,,
b_s_bu_unit1,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Homestead | 2, Miramar | 3, TCU | 4, The Avenue | 5, The Boulevard",,,,,,"[b_fac_bu] = '1' and [b_p_type]='2'",,,,,,
b_s_bu_unit2,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, One East | 2, One North | 3, RRS/One South | 4, Two East | 5, Two North | 6, Two South",,,,,,"[b_fac_bu] = '2' and [b_p_type]='2'",,,,,,
b_s_bu_unit3,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, A Wing | 2, B Wing | 3, C Wing | 4, D Wing | 5, E Wing",,,,,,"[b_fac_bu] = '3' and [b_p_type]='2'",,,,,,
b_s_bu_unit4,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 1N | 2, 1S | 3, 2E | 4, 2S | 5, 3N | 6, 3S | 7, Vent",,,,,,"[b_fac_bu] = '4' and [b_p_type]='2'",,,,,,
b_s_bu_unit5,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, The Bay | 2, The Cove | 3, The Hill | 4, Green Homes",,,,,,"[b_fac_bu] = '5' and [b_p_type]='2'",,,,,,
b_s_cwru_unit1,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, North | 2, South | 3, Dom Plus",,,,,,"[b_fac_cwru] = '1' and [b_p_type]='2'",,,,,,
b_s_cwru_unit2,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Floor 2 | 2, Floor 3 | 3, Floor 4",,,,,,"[b_fac_cwru] = '2' and [b_p_type]='2'",,,,,,
b_s_cwru_unit3,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Fairmont | 2, Beachwood | 3, Friedman | 4, Shaker | 5, Euclid | 6, Marcus | 7, Heights",,,,,,"[b_fac_cwru] = '3' and [b_p_type]='2'",,,,,,
b_s_cwru_unit4,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Myers | 2, Mandel",,,,,,"[b_fac_cwru] = '4' and [b_p_type]='2'",,,,,,
b_s_cwru_unit5,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Floor 2 | 2, Floor 3",,,,,,"[b_fac_cwru] = '5' and [b_p_type]='2'",,,,,,
b_s_cwru_unit6,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100 Area | 2, 200 Area",,,,,,"[b_fac_cwru] = '6' and [b_p_type]='2'",,,,,,
b_s_cwru_unit7,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100 North | 2, 100 South | 3, 200 North | 4, 200 South | 5, 300 North | 6, 300 South",,,,,,"[b_fac_cwru] = '7' and [b_p_type]='2'",,,,,,
b_s_cwru_unit8,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100 Branch | 2, 200 Branch | 3, 300 Branch | 4, 400 Branch",,,,,,"[b_fac_cwru] = '8' and [b_p_type]='2'",,,,,,
b_s_cwru_unit9,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100s | 2, 200s | 3, 300s | 4, 400s",,,,,,"[b_fac_cwru] = '9' and [b_p_type]='2'",,,,,,
b_s_cwru_unit10,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100 Wing | 2, 200 Wing | 3, 300 Wing | 4, 400 Wing",,,,,,"[b_fac_cwru] = '10' and [b_p_type]='2'",,,,,,
b_s_cwru_unit11,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Tulip Trail | 2, Orchid Way | 3, Daisy Avenue | 4, Iris Court",,,,,,"[b_fac_cwru] = '11' and [b_p_type]='2'",,,,,,
b_s_cwru_unit12,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Station 1 | 2, Station 3 | 3, Memory Care Neighborhood",,,,,,"[b_fac_cwru] = '12' and [b_p_type]='2'",,,,,,
b_s_cwru_unit13,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Floor 2 Wing 1 | 2, Floor 2 Wing 2 | 3, Floor 2 Wing 3 | 4, Floor 3 Wing 1 | 5, Floor 3 Wing 2 | 6, Floor 3 Wing 3",,,,,,"[b_fac_cwru] = '13' and [b_p_type]='2'",,,,,,
b_s_cwru_unit14,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, Floor 1 | 2, Floor 2 Wing 1 | 3, Floor 2 Wing 2 | 4, Floor 2 Wing 3",,,,,,"[b_fac_cwru] = '14' and [b_p_type]='2'",,,,,,
b_s_cwru_unit15,recruitment_and_screening_form_appendix_b,,checkbox,Unit(s):,"1, 100 Area | 2, 200 Area",,,,,,"[b_fac_cwru] = '15' and [b_p_type]='2'",,,,,,
